Artist,RelArtist
Radiohead,Thom Yorke
Radiohead,Atoms for Peace
Radiohead,Muse
Radiohead,Placebo
Radiohead,Arcade Fire
Radiohead,R.E.M.
Radiohead,Blur
Radiohead,Pixies
Radiohead,The Smashing Pumpkins
Radiohead,Interpol
Radiohead,PJ Harvey
Radiohead,Gorillaz
Radiohead,Coldplay
Radiohead,The Flaming Lips
Radiohead,Beck
Radiohead,Weezer
Radiohead,The Smiths
Radiohead,The White Stripes
Radiohead,Arctic Monkeys
Pink+Floyd,David Gilmour
Pink+Floyd,Roger Waters
Pink+Floyd,The Doors
Pink+Floyd,Led Zeppelin
Pink+Floyd,Syd Barrett
Pink+Floyd,Porcupine Tree
Pink+Floyd,King Crimson
Pink+Floyd,Camel
Pink+Floyd,Emerson, Lake & Palmer
Pink+Floyd,Queen
Pink+Floyd,Rick Wright
Pink+Floyd,Genesis
Pink+Floyd,Yes
Pink+Floyd,Dire Straits
Pink+Floyd,Jethro Tull
Pink+Floyd,Deep Purple
Pink+Floyd,The Alan Parsons Project
Pink+Floyd,The Beatles
Pink+Floyd,Jefferson Airplane
The+Beatles,John Lennon
The+Beatles,Paul McCartney
The+Beatles,George Harrison
The+Beatles,Paul McCartney & Wings
The+Beatles,Ringo Starr
The+Beatles,Wings
The+Beatles,The Rolling Stones
The+Beatles,The Beach Boys
The+Beatles,The Who
The+Beatles,The Kinks
The+Beatles,Paul & Linda McCartney
The+Beatles,John Lennon & Yoko Ono
The+Beatles,Led Zeppelin
The+Beatles,The Zombies
The+Beatles,The Doors
The+Beatles,Queen
The+Beatles,Simon & Garfunkel
The+Beatles,Pink Floyd
The+Beatles,The Hollies
Red+Hot+Chili+Peppers,John Frusciante
Red+Hot+Chili+Peppers,Foo Fighters
Red+Hot+Chili+Peppers,Ataxia
Red+Hot+Chili+Peppers,John Frusciante and Josh Klinghoffer
Red+Hot+Chili+Peppers,Incubus
Red+Hot+Chili+Peppers,Audioslave
Red+Hot+Chili+Peppers,Pearl Jam
Red+Hot+Chili+Peppers,Rage Against the Machine
Red+Hot+Chili+Peppers,Jane's Addiction
Red+Hot+Chili+Peppers,Nirvana
Red+Hot+Chili+Peppers,The White Stripes
Red+Hot+Chili+Peppers,Soundgarden
Red+Hot+Chili+Peppers,The Offspring
Red+Hot+Chili+Peppers,Kings of Leon
Red+Hot+Chili+Peppers,Queens of the Stone Age
Red+Hot+Chili+Peppers,Faith No More
Red+Hot+Chili+Peppers,R.E.M.
Red+Hot+Chili+Peppers,Green Day
Red+Hot+Chili+Peppers,Radiohead
System+of+a+Down,Serj Tankian
System+of+a+Down,Scars on Broadway
System+of+a+Down,Slipknot
System+of+a+Down,Korn
System+of+a+Down,Disturbed
System+of+a+Down,Metallica
System+of+a+Down,Deftones
System+of+a+Down,Rammstein
System+of+a+Down,Stone Sour
System+of+a+Down,Drowning Pool
System+of+a+Down,Avenged Sevenfold
System+of+a+Down,Limp Bizkit
System+of+a+Down,Rage Against the Machine
System+of+a+Down,Mudvayne
System+of+a+Down,Linkin Park
System+of+a+Down,Static-X
System+of+a+Down,Godsmack
System+of+a+Down,Marilyn Manson
System+of+a+Down,Three Days Grace
Metallica,Megadeth
Metallica,Pantera
Metallica,Slayer
Metallica,Anthrax
Metallica,Iron Maiden
Metallica,Black Sabbath
Metallica,Ozzy Osbourne
Metallica,Guns N' Roses
Metallica,AC/DC
Metallica,Sepultura
Metallica,Slipknot
Metallica,Machine Head
Metallica,Testament
Metallica,Judas Priest
Metallica,System of a Down
Metallica,Lou Reed & Metallica
Metallica,Black Label Society
Metallica,Kreator
Coldplay,Keane
Coldplay,OneRepublic
Coldplay,Snow Patrol
Coldplay,Travis
Coldplay,Muse
Coldplay,Imagine Dragons
Coldplay,The Killers
Coldplay,Oasis
Coldplay,Radiohead
Coldplay,The Fray
Coldplay,Maroon 5
Coldplay,Thirteen Senses
Coldplay,Stereophonics
Coldplay,Noel Gallagher's High Flying Birds
Coldplay,Kings of Leon
Coldplay,Robbie Williams
Coldplay,Florence + the Machine
Coldplay,The Verve
Coldplay,Linkin Park
Nirvana,Alice in Chains
Nirvana,Hole
Nirvana,Mudhoney
Nirvana,Soundgarden
Nirvana,Pearl Jam
Nirvana,Silverchair
Nirvana,Foo Fighters
Nirvana,Pixies
Nirvana,Meat Puppets
Nirvana,Mad Season
Nirvana,Stone Temple Pilots
Nirvana,Screaming Trees
Nirvana,L7
Nirvana,Temple of the Dog
Nirvana,Mother Love Bone
Nirvana,The Smashing Pumpkins
Nirvana,Bush
